AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
1998,ANDALUCIA,4228512,600847,Azul
1998,ASTURIAS,4852620,721222,Azul
1998,BALEARES,4129149,317212,Azul
1998,CASTILLA-LA MANCHA,568580,107089,Azul
1998,CATALUÑA,4362720,4096080,Azul
1998,GALICIA,43410,7929,Azul
1998,MADRID,4748282,3394223,Azul
1998,REGION DE MURCIA,63880,7001,Azul
1998,NAVARRA,1623029,257316,Azul
1998,PAIS VASCO,4127213,197618,Azul
1999,CEUTA,325020,18029,Azul
1999,ANDALUCIA,21534719,3045079,Azul
1999,ARAGON,1198950,193867,Azul
1999,ASTURIAS,11662481,1081834,Azul
1999,BALEARES,18235229,768258,Azul
1999,CASTILLA Y LEON,4639960,267155,Azul
1999,CASTILLA-LA MANCHA,3671954,562835,Azul
1999,CANTABRIA,3143103,280467,Azul
1999,CATALUÑA,84728660,6144120,Azul
1999,GALICIA,3996359,562078,Azul
1999,CANARIAS,47670,5119,Azul
1999,LA RIOJA,2406280,245257,Azul
1999,MADRID,38509177,5091336,Azul
1999,REGION DE MURCIA,550349,107818,Azul
1999,NAVARRA,4702485,413245,Azul
1999,PAIS VASCO,48214363,1991747,Azul
2000,CEUTA,422160,73704,Azul
2000,ANDALUCIA,28077022,4319986,Azul
2000,ARAGON,12035618,738965,Azul
2000,ASTURIAS,13314891,1084314,Azul
2000,BALEARES,22608988,815821,Azul
2000,CASTILLA Y LEON,10907958,699848,Azul
2000,CASTILLA-LA MANCHA,7257399,1119551,Azul
2000,CANTABRIA,6023749,482140,Azul
2000,CATALUÑA,81737170,6203900,Azul
2000,COMUNIDAD VALENCIANA,1431146,173891,Azul
2000,EXTREMADURA,1325470,292576,Azul
2000,GALICIA,4736422,1035353,Azul
2000,CANARIAS,229660,33520,Azul
2000,LA RIOJA,3745131,259386,Azul
2000,MADRID,70278900,5145325,Azul
2000,REGION DE MURCIA,1274258,168850,Azul
2000,NAVARRA,7553559,443581,Azul
2000,PAIS VASCO,51014791,1993921,Azul
2001,CEUTA,0,0,Azul
2001,ANDALUCIA,41430634,5977351,Azul
2001,ARAGON,13924880,945984,Azul
2001,ASTURIAS,14815292,1076567,Azul
2001,BALEARES,24220620,839341,Azul
2001,CASTILLA Y LEON,20384901,1371468,Azul
2001,CASTILLA-LA MANCHA,10072939,1505489,Azul
2001,CANTABRIA,5824421,485000,Azul
2001,CATALUÑA,87762401,6258387,Azul
2001,COMUNIDAD VALENCIANA,6183541,2533802,Azul
2001,EXTREMADURA,2662789,587022,Azul
2001,GALICIA,14479825,1705847,Azul
2001,CANARIAS,2429775,489276,Azul
2001,LA RIOJA,4511186,259006,Azul
2001,MADRID,81125947,5205408,Azul
2001,REGION DE MURCIA,3865161,540986,Azul
2001,NAVARRA,7359826,473852,Azul
2001,PAIS VASCO,52074619,2001051,Azul
2002,CEUTA,0,0,Azul
2002,ANDALUCIA,51976145,6608021,Azul
2002,ARAGON,15314829,1037487,Azul
2002,ASTURIAS,16647620,1075329,Azul
2002,BALEARES,24444644,871752,Azul
2002,CASTILLA Y LEON,24394101,1665614,Azul
2002,CASTILLA-LA MANCHA,14183468,1642051,Azul
2002,CANTABRIA,5830444,491484,Azul
2002,CATALUÑA,95353333,6357748,Azul
2002,COMUNIDAD VALENCIANA,31058376,3242039,Azul
2002,EXTREMADURA,2891918,638983,Azul
2002,GALICIA,19022016,2035698,Azul
2002,CANARIAS,5098796,867676,Azul
2002,LA RIOJA,4817875,265699,Azul
2002,MADRID,89656600,5372433,Azul
2002,REGION DE MURCIA,9909803,940215,Azul
2002,NAVARRA,9965938,524128,Azul
