planta_año;planta_clasificacion_envases;planta_tipo_residuo_desc;planta_tipo_residuo_cantidad_Kg
2012;Pinto;Metales;1938840
2012;Pinto;Plásticos;7855460
2012;Pinto;Vidrio;38860
2012;Pinto;Papel y cartón;0
2012;Pinto;Briks;1563380
2012;Pinto;Otros materiales;0
2012;Colmenar Viejo;Metales;2066720
2012;Colmenar Viejo;Plásticos;6159260
2012;Colmenar Viejo;Vidrio;0
2012;Colmenar Viejo;Papel y cartón;467500
2012;Colmenar Viejo;Briks;1417800
2012;Colmenar Viejo;Otros materiales;0
2012;Nueva Rendija;Metales;1202860
2012;Nueva Rendija;Plásticos;3346600
2012;Nueva Rendija;Vidrio;0
2012;Nueva Rendija;Papel y cartón;148020
2012;Nueva Rendija;Briks;773900
2012;Nueva Rendija;Otros materiales;1157900
2012;Fuenlabrada;Metales;1154360
2012;Fuenlabrada;Plásticos;2664040
2012;Fuenlabrada;Vidrio;24640
2012;Fuenlabrada;Papel y cartón;85920
2012;Fuenlabrada;Briks;492560
2012;Fuenlabrada;Otros materiales;0
2012;La Paloma;Metales;3211000
2012;La Paloma;Plásticos;0
2012;La Paloma;Vidrio;571000
2012;La Paloma;Papel y cartón;2187000
2012;La Paloma;Briks;1725000
2012;La Paloma;Otros materiales;9997000
2012;Las Dehesas;Metales;2994000
2012;Las Dehesas;Plásticos;0
2012;Las Dehesas;Vidrio;0
2012;Las Dehesas;Papel y cartón;1979000
2012;Las Dehesas;Briks;780000
2012;Las Dehesas;Otros materiales;4507000
2013;Pinto;Metales;1793160
2013;Pinto;Plásticos;8427130
2013;Pinto;Vidrio;47640
2013;Pinto;Papel y cartón;0
2013;Pinto;Briks;1943600
2013;Pinto;Otros materiales;0
2013;Colmenar Viejo;Metales;2295440
2013;Colmenar Viejo;Plásticos;7496595
2013;Colmenar Viejo;Vidrio;0
2013;Colmenar Viejo;Papel y cartón;148160
2013;Colmenar Viejo;Briks;1880280
2013;Colmenar Viejo;Otros materiales;15700
2013;Nueva Rendija;Metales;2065360
2013;Nueva Rendija;Plásticos;0
2013;Nueva Rendija;Vidrio;0
2013;Nueva Rendija;Papel y cartón;145980
2013;Nueva Rendija;Briks;0
2013;Nueva Rendija;Otros materiales;4621320
2013;Fuenlabrada;Metales;1122300
2013;Fuenlabrada;Plásticos;2341600
2013;Fuenlabrada;Vidrio;0
2013;Fuenlabrada;Papel y cartón;72580
2013;Fuenlabrada;Briks;530880
2013;Fuenlabrada;Otros materiales;0
2013;La Paloma;Metales;2984000
2013;La Paloma;Plásticos;0
2013;La Paloma;Vidrio;600000
2013;La Paloma;Papel y cartón;1890000
2013;La Paloma;Briks;1683000
2013;La Paloma;Otros materiales;11731000
2013;Las Dehesas;Metales;2423000
2013;Las Dehesas;Plásticos;0
2013;Las Dehesas;Vidrio;0
2013;Las Dehesas;Papel y cartón;1517000
2013;Las Dehesas;Briks;610000
2013;Las Dehesas;Otros materiales;3763000
2014;Pinto;Metales;1719360
2014;Pinto;Plásticos;5205740
2014;Pinto;Vidrio;44440
2014;Pinto;Papel y cartón;44600
2014;Pinto;Briks;1958240
2014;Pinto;Otros materiales;1673220
2014;Colmenar Viejo;Metales;2142760
2014;Colmenar Viejo;Plásticos;6506580
2014;Colmenar Viejo;Vidrio;0
2014;Colmenar Viejo;Papel y cartón;21260
2014;Colmenar Viejo;Briks;1777840
2014;Colmenar Viejo;Otros materiales;1654240
2014;Nueva Rendija;Metales;1180960
2014;Nueva Rendija;Plásticos;3679800
2014;Nueva Rendija;Vidrio;0
2014;Nueva Rendija;Papel y cartón;166400
2014;Nueva Rendija;Briks;812140
2014;Nueva Rendija;Otros materiales;1101980
2014;Fuenlabrada;Metales;1009410
2014;Fuenlabrada;Plásticos;2162760
2014;Fuenlabrada;Vidrio;25120
2014;Fuenlabrada;Papel y cartón;0
2014;Fuenlabrada;Briks;599340
2014;Fuenlabrada;Otros materiales;1162700
2014;La Paloma;Metales;3164000
2014;La Paloma;Plásticos;0
2014;La Paloma;Vidrio;517000
2014;La Paloma;Papel y cartón;1633000
2014;La Paloma;Briks;1556000
2014;La Paloma;Otros materiales;9496000
2014;Las Dehesas;Metales;2107000
2014;Las Dehesas;Plásticos;0
2014;Las Dehesas;Vidrio;0
2014;Las Dehesas;Papel y cartón;1300000
2014;Las Dehesas;Briks;546000
2014;Las Dehesas;Otros materiales;3360000
2015;Pinto;Metales;1886340
2015;Pinto;Plásticos;7424800
2015;Pinto;Vidrio;58660
2015;Pinto;Papel y cartón;198840
2015;Pinto;Briks;2059840
2015;Pinto;Otros materiales;95000
2015;Colmenar Viejo;Metales;2016900
2015;Colmenar Viejo;Plásticos;6651740
2015;Colmenar Viejo;Vidrio;0
2015;Colmenar Viejo;Papel y cartón;54580
2015;Colmenar Viejo;Briks;1625700
2015;Colmenar Viejo;Otros materiales;0
2015;Nueva Rendija;Metales;1028940
2015;Nueva Rendija;Plásticos;4426240
2015;Nueva Rendija;Vidrio;0
2015;Nueva Rendija;Papel y cartón;131480
2015;Nueva Rendija;Briks;697420
2015;Nueva Rendija;Otros materiales;183220
2015;Fuenlabrada;Metales;1051860
2015;Fuenlabrada;Plásticos;3513080
2015;Fuenlabrada;Vidrio;47520
2015;Fuenlabrada;Papel y cartón;0
2015;Fuenlabrada;Briks;776940
2015;Fuenlabrada;Otros materiales;96900
2015;La Paloma;Metales;2342000
2015;La Paloma;Plásticos;8537000
2015;La Paloma;Vidrio;428000
2015;La Paloma;Papel y cartón;1645000
2015;La Paloma;Briks;1408000
2015;La Paloma;Otros materiales;227000
2015;Las Dehesas;Metales;2339000
2015;Las Dehesas;Plásticos;3799000
2015;Las Dehesas;Vidrio;0
2015;Las Dehesas;Papel y cartón;1252000
2015;Las Dehesas;Briks;724000
2015;Las Dehesas;Otros materiales;130000
2016;Pinto;Metales;2387100
2016;Pinto;Plásticos;10260900
2016;Pinto;Vidrio;36380
2016;Pinto;Papel y cartón;155660
