Image,Garbage_category
clothes/clothes1970.jpg,clothes
brown-glass/brown-glass274.jpg,brown-glass
metal/metal734.jpg,metal
green-glass/green-glass578.jpg,green-glass
clothes/clothes118.jpg,clothes
paper/paper552.jpg,paper
green-glass/green-glass303.jpg,green-glass
clothes/clothes5199.jpg,clothes
metal/metal402.jpg,metal
clothes/clothes4821.jpg,clothes
plastic/plastic613.jpg,plastic
shoes/shoes869.jpg,shoes
battery/battery241.jpg,battery
cardboard/cardboard715.jpg,cardboard
clothes/clothes4763.jpg,clothes
battery/battery16.jpg,battery
shoes/shoes144.jpg,shoes
clothes/clothes2731.jpg,clothes
clothes/clothes1709.jpg,clothes
clothes/clothes2987.jpg,clothes
biological/biological141.jpg,biological
metal/metal350.jpg,metal
clothes/clothes4391.jpg,clothes
biological/biological582.jpg,biological
shoes/shoes258.jpg,shoes
metal/metal229.jpg,metal
clothes/clothes1547.jpg,clothes
clothes/clothes2728.jpg,clothes
clothes/clothes1672.jpg,clothes
plastic/plastic269.jpg,plastic
green-glass/green-glass54.jpg,green-glass
cardboard/cardboard736.jpg,cardboard
shoes/shoes704.jpg,shoes
clothes/clothes2763.jpg,clothes
metal/metal381.jpg,metal
paper/paper606.jpg,paper
plastic/plastic459.jpg,plastic
clothes/clothes3368.jpg,clothes
metal/metal430.jpg,metal
paper/paper318.jpg,paper
clothes/clothes2638.jpg,clothes
green-glass/green-glass324.jpg,green-glass
paper/paper939.jpg,paper
trash/trash194.jpg,trash
clothes/clothes5098.jpg,clothes
cardboard/cardboard440.jpg,cardboard
shoes/shoes825.jpg,shoes
clothes/clothes352.jpg,clothes
biological/biological86.jpg,biological
clothes/clothes1240.jpg,clothes
clothes/clothes3308.jpg,clothes
cardboard/cardboard491.jpg,cardboard
cardboard/cardboard642.jpg,cardboard
brown-glass/brown-glass321.jpg,brown-glass
biological/biological853.jpg,biological
trash/trash24.jpg,trash
trash/trash451.jpg,trash
clothes/clothes4257.jpg,clothes
biological/biological180.jpg,biological
green-glass/green-glass215.jpg,green-glass
plastic/plastic375.jpg,plastic
brown-glass/brown-glass158.jpg,brown-glass
shoes/shoes78.jpg,shoes
plastic/plastic238.jpg,plastic
brown-glass/brown-glass257.jpg,brown-glass
clothes/clothes2300.jpg,clothes
trash/trash64.jpg,trash
paper/paper379.jpg,paper
trash/trash552.jpg,trash
cardboard/cardboard509.jpg,cardboard
clothes/clothes774.jpg,clothes
clothes/clothes1260.jpg,clothes
battery/battery705.jpg,battery
shoes/shoes1704.jpg,shoes
biological/biological251.jpg,biological
trash/trash682.jpg,trash
clothes/clothes5288.jpg,clothes
shoes/shoes1066.jpg,shoes
clothes/clothes3356.jpg,clothes
green-glass/green-glass254.jpg,green-glass
trash/trash355.jpg,trash
clothes/clothes2099.jpg,clothes
plastic/plastic780.jpg,plastic
shoes/shoes1346.jpg,shoes
clothes/clothes3251.jpg,clothes
clothes/clothes3839.jpg,clothes
green-glass/green-glass316.jpg,green-glass
