Image,Category
clothes/clothes2288.jpg,clothes
clothes/clothes954.jpg,clothes
cardboard/cardboard846.jpg,cardboard
plastic/plastic487.jpg,plastic
shoes/shoes551.jpg,shoes
metal/metal754.jpg,metal
clothes/clothes4678.jpg,clothes
plastic/plastic514.jpg,plastic
clothes/clothes4675.jpg,clothes
shoes/shoes1427.jpg,shoes
clothes/clothes3412.jpg,clothes
paper/paper368.jpg,paper
brown-glass/brown-glass189.jpg,brown-glass
trash/trash567.jpg,trash
clothes/clothes1844.jpg,clothes
clothes/clothes103.jpg,clothes
clothes/clothes5313.jpg,clothes
clothes/clothes3911.jpg,clothes
clothes/clothes2344.jpg,clothes
battery/battery400.jpg,battery
clothes/clothes603.jpg,clothes
shoes/shoes1083.jpg,shoes
clothes/clothes1821.jpg,clothes
cardboard/cardboard532.jpg,cardboard
cardboard/cardboard239.jpg,cardboard
shoes/shoes1111.jpg,shoes
clothes/clothes1994.jpg,clothes
trash/trash133.jpg,trash
paper/paper644.jpg,paper
trash/trash11.jpg,trash
clothes/clothes363.jpg,clothes
shoes/shoes282.jpg,shoes
green-glass/green-glass388.jpg,green-glass
shoes/shoes1403.jpg,shoes
clothes/clothes1273.jpg,clothes
clothes/clothes2192.jpg,clothes
clothes/clothes3576.jpg,clothes
cardboard/cardboard213.jpg,cardboard
clothes/clothes1392.jpg,clothes
shoes/shoes840.jpg,shoes
paper/paper251.jpg,paper
biological/biological807.jpg,biological
cardboard/cardboard176.jpg,cardboard
clothes/clothes3082.jpg,clothes
white-glass/white-glass291.jpg,white-glass
green-glass/green-glass373.jpg,green-glass
clothes/clothes76.jpg,clothes
brown-glass/brown-glass449.jpg,brown-glass
clothes/clothes2952.jpg,clothes
white-glass/white-glass678.jpg,white-glass
paper/paper596.jpg,paper
biological/biological299.jpg,biological
biological/biological555.jpg,biological
paper/paper271.jpg,paper
cardboard/cardboard486.jpg,cardboard
white-glass/white-glass198.jpg,white-glass
clothes/clothes3975.jpg,clothes
shoes/shoes878.jpg,shoes
trash/trash307.jpg,trash
paper/paper308.jpg,paper
clothes/clothes1740.jpg,clothes
paper/paper519.jpg,paper
clothes/clothes2299.jpg,clothes
clothes/clothes1402.jpg,clothes
trash/trash428.jpg,trash
